,Listing phrase,Category level 1,Category level 2,Type of NPS,Type of NPS new,Other name 1,Other name 2,Other name 3,Other name 4,Chemical name,Listing phrase length,listing phrase
1221,5 MAPB,5-mapb,NPS,,Stimulant,,,,,,,5 mapb
1132,5-AEDB,5-AEDB,NPS,Arylalkylamines,,,,,,"2-(2,3-dihydro-1-benzofuran-5-yl)ethan-1-amine",,5-aedb
1133,5-APB,5-apb,NPS,,Stimulant,,,,,,,5-apb
1134,5-APB NBOMe,5-APB NBOMe,NPS,Arylalkylamines,,,,,,1-(benzofuran-5-yl)-N-[(2-methoxyphenyl)methyl]propan-2-amine,,5-apb nbome
1135,5-APDB,5-APDB,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"5-(2-aminopropyl)-2,3-dihydrobenzofuran",,5-apdb
1136,5-APDI,5-apdi,NPS,,Empathogens-Entactogens,,,,,,,5-apdi
1137,5-BPDI,5-bpdi,NPS,,,,,,,,,5-bpdi
1139,5-Bromo-THJ-018,5-Bromo-THJ-018,NPS,Cannabinoids,Cannabinoid,,,,,1-(5-bromopentyl)-3-(naphthalene-1-carbonyl)-1H-indazole,,5-bromo-thj-018
1138,5-Bromo-alpha-PVT,5-Bromo-alpha-PVT,NPS,,,,,,,,,5-bromo-alpha-pvt
1141,5-Chloropentyl JWH 018 indazole analogue,5-Chloropentyl JWH 018 indazole analogue,NPS,,,,,,,1-(5-chloropentyl)-1H-indazol-3-yl] (naphthalen-1-yl)methanone,,5-chloropentyl jwh 018 indazole analogue
1145,5-Cl-MN-24,5-Cl-MN-24,NPS,synthetic,Cannabinoid,,,,,(1-pentyl-1H-indol-3-yl)piperazin-1-yl)methanone,,5-cl-mn-24
1147,5-Cl-UR-144,5-Cl-UR-144,NPS,,Cannabinoid,UR-144 N-(5-chloropentyl),,,,,,5-cl-ur-144
1148,5-DBFPV,5-DBFPV,NPS,Cathinones,Stimulant,5-dihydrobenzofuranpyrovalerone,,,,"(1-(2,3-dihydrobenzofuran-5-yl)-2-(pyrrolidin-1-yl)pentan-1-one)",,5-dbfpv
1151,5-EAPB,5-eapb,NPS,,Stimulant,,,,,,,5-eapb
1186,5-Fluoropentyl-3-pyridinoylindole,5-Fluoropentyl-3-pyridinoylindole,NPS,Cannabinoids,Cannabinoid,,,,,1-(5-fluoropentyl)-1H-indol-3-yl](pyridin-3-yl) methanone,,5-fluoropentyl-3-pyridinoylindole
1216,5-HO-DMT,5-ho-dmt,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,5-ho-dmt
1219,5-IAI,5-IAI,NPS,Aminoindanes,Stimulant,,,,,5-iodo-2-aminoindane,,5-iai
1220,5-IT,5-it,NPS,,Empathogens-Entactogens,,,,,,,5-it
1223,5-MAPB,5-mapb,NPS,,Stimulant,,,,,,,5-mapb
1224,5-MAPDB,5-mapdb,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,5-mapdb
1225,5-MAPDI,5-MAPDI,NPS,Phenethylamines,Empathogens-Entactogens,,,,,"1-(2,3-dihydro-1H-inden-5-yl)-N-methylpropan-2-amine",,5-mapdi
1226,5-MBPB,5-MBPB,NPS,Arylalkylamines,Empathogens-Entactogens,,,,,(1-(benzofuran-5-yl)-N-methylbutan-2-amine,,5-mbpb
1251,5-METHYL-MDA,5-METHYL-MDA,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,5-methyl-mda
1249,5-METHYLETHYLONE,5-Methylethylone,NPS,,Empathogens-Entactogens,,,,,,,5-methylethylone
1253,5-MT,5-MT,NPS,,,5-MeO-tryptamine,mexamine,,,2-(5-Methoxy-1H-indol-3-yl)ethanamine,,5-mt
1227,5-MeO-2-TMT,5-MeO-2-TMT,NPS,,,,,,,5-Methoxy-6-methyl-2-aminoindane,,5-meo-2-tmt
1228,5-MeO-AMT,5-MeO-AMT,NPS,,,5MeO-AMT,,,,5-methoxy-diethyltryptamine,,5-meo-amt
1230,5-MeO-DALT,5-MeO-DALT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,"5-Methoxy-N,N-diisopropyltryptamine",,,,"N,N-diallyl-5-methoxytryptamine",,5-meo-dalt
1231,5-MeO-DET,5-MeO-DET,NPS,,Hallucinogen/dissociative/psychedelic,5MeO-DET,,,,"5-Methoxy-N,N-diethyltryptamine",,5-meo-det
1232,5-MeO-DIBF,5-MeO-DIBF,NPS,Arylalkylamines,Hallucinogen/dissociative/psychedelic,,,,,2-(5-methoxy-1-benzofuran-3-yl)ethyl]bis(propan-2-yl)amine,,5-meo-dibf
1233,5-MeO-DIPT,5-MeO-DIPT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"5-Methoxy-N,N-dimethyltryptamine",,5-meo-dipt
1234,5-MeO-DMT,5-MeO-DMT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"5-Methoxy-N,N-dipropyltryptamine",,5-meo-dmt
1235,5-MeO-DPT,5-MeO-DPT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"5-methoxy-N,N-tetramethylenetryptamine",,5-meo-dpt
1236,5-MeO-EIPT,5-MeO-EIPT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,N-ethyl-N-[2-(5-methoxy-1H-indol-3-yl)ethyl]propan-2-amine,,5-meo-eipt
1237,5-MeO-EPT,5-MeO-EPT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,ethyl[2-(5-methoxy-1H-indol-3-yl)ethyl]propylamine,,5-meo-ept
1238,5-MeO-MALT,5-MeO-MALT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]-N-methyl-prop-2-en-1-amine,,5-meo-malt
1239,5-MeO-MET,5-MeO-MET,NPS,,Hallucinogen/dissociative/psychedelic,5-methoxytryptamine,,,,5-methoxy-N-ethyl-N-methyl-tryptamine,,5-meo-met
1240,5-MeO-MiPT,5-meo-mipt,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,5-meo-mipt
1241,"5-MeO-N,N-DMT","5-MeO-N,N-DMT",NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,"2-(5-methoxy-1H-indol-3-yl)-N,N-dimethylethanamine",,"5-meo-n,n-dmt"
1242,5-MeO-NBpBrT,5-MeO-NBpBrT,NPS,,,,,,,5-methoxy-N-isopropyl ethyltryptamine,,5-meo-nbpbrt
1243,5-MeO-NiPT,5-MeO-NiPT,NPS,,,,,,,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]-propan-2-amine,,5-meo-nipt
1244,5-MeO-pyr-T,5-MeO-pyr-T,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,(5-methoxy-3-(2-pyrrolidin-1-ylethyl)-1H-indole,,5-meo-pyr-t
1248,5-Methoxymethylone,5-Methoxymethylone,NPS,Cathinones,Stimulant,,,,,"1-(7-methoxy-2H-1,3-benzodioxol-5-yl)-2-(methylamino)propan-1-one",,5-methoxymethylone
1250,5-Methyl-Ethylone,5-Methylethylone,NPS,,Empathogens-Entactogens,,,,,,,5-methyl-ethylone
1254,5-PPDI,5-ppdi,NPS,,,,,,,,,5-ppdi
1199,5-f-NPB,5-F-NPB,NPS,,Cannabinoid,,,,,,,5-f-npb
1201,5-f-NPB-22,5F-NPB-22,NPS,,Cannabinoid,,,,,,,5-f-npb-22
1183,5-fluoro 7QUPAIC,5-fluoro 7QUPAIC,NPS,Cannabinoids,Cannabinoid,,,,,"quinolin‐8‐yl 1‐(5‐fluoropentyl)‐1H‐pyrrolo[2,3‐b]pyridine‐3‐carboxylate",,5-fluoro 7qupaic
1184,5-fluoro-ADB-PINACA,5-fluoro-ADB-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,"N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(5-fluoropentyl)-1H-indazole-3-carboxamide",,5-fluoro-adb-pinaca
1185,5-fluoro-JWH-018-adamantyl analog,5-fluoro-JWH-018-adamantyl analog,NPS,Cannabinoids,Cannabinoid,,,,,3-(adamantane-1-carbonyl)-1-(5-fluoropentyl)-1H-indole,,5-fluoro-jwh-018-adamantyl analog
1187,5-fluoro-SDB-005,5-fluoro-SDB-005,NPS,Cannabinoids,Cannabinoid,,,,,naphthalen-1-yl 1-(5-fluoropentyl)-1H-indazole-3-carboxylate,,5-fluoro-sdb-005
1218,5-htp,5-htp,NPS,,,,,,,,,5-htp
1245,5-methoxy-DiPT,5-methoxy-DiPT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,[2-(5-methoxy-1H-indol-3-yl)ethyl]bis(propan-2-yl)amine,,5-methoxy-dipt
1140,5C-AKB48,5C-AKB48,NPS,,,,,,,N-(2-adamantyl)-1-(5-chloropentyl)indazole-3-carboxamide,,5c-akb48
1142,5Cl-AB-PINACA,5Cl-AB-PINACA,NPS,Cannabinoids,Cannabinoid,5-Cl-AB-PINACA,,,,N-[(1S)-1-(aminocarbonyl)-2-methylpropyl]-1-(5-chloropentyl)1HIndazole-3-carboxamide,,5cl-ab-pinaca
1143,5Cl-ADB,5Cl-ADB,NPS,Cannabinoids,Cannabinoid,(1-Pentyl-1H-indol-3-yl)(pyridin-3-yl)methanone,,,,"methyl 2-{[1-(5-chloropentyl)-1H-indazole-3- carbonyl]amino}-3,3-dimethylbutanoate",,5cl-adb
1146,5Cl-THJ-018,5Cl-THJ-018,NPS,Cannabinoids,Cannabinoid,JWH-018 (5-chloropentyl) indazole analogue,,,,1-(5-chloropentyl)-3-(naphthalene-1-carbonyl)-1H-indazole,,5cl-thj-018
1144,5Cl-bk-MPA,5Cl-bk-MPA,NPS,Cathinones,,5-Cl-bk-MPA,,,,1-(5-chlorothiophen-2-yl)-2-(methylamino)propan-1-one,,5cl-bk-mpa
1150,5EAPB,5-eapb,NPS,,Stimulant,,,,,,,5eapb
1152,"5F-3,5-ADB-PFUPPYCA","5F-3,5-ADB-PFUPPYCA",NPS,Cannabinoids,Cannabinoid,,,,,"2-{[1-(5-fluoropentyl)-3-(4-fluorophenyl)-1H-pyrazol-5-yl]formamido}-3,3-dimethylbutanamide",,"5f-3,5-adb-pfuppyca"
1153,"5F-5,3-AB-PFUPPYCA","5F-5,3-AB-PFUPPYCA",NPS,Cannabinoids,Cannabinoid,,,,,2-[[1-(5-fluoropentyl)-5-(4-fluorophenyl)-1H-pyrazol-3-yl]formamido]-3-methylbutanamide,,"5f-5,3-ab-pfuppyca"
1154,5F-7-APAICA,5F-7-APAICA,NPS,Cannabinoids,Cannabinoid,,,,,"N‐(adamantan‐1‐yl)‐1‐(5‐fluoropentyl)‐1H‐pyrrolo[2,3‐b]pyridine‐3‐carboxamide",,5f-7-apaica
1155,5F-AB-001,5F-AB-001,NPS,synthetic,Cannabinoid,"1-(Cyclohexylmethyl)-2-[(4-ethoxyphenyl)methyl]-N,N-diethyl-1H-benzimidazole-5- carboxamide",,,,adamantan-1-yl(1-(5-fluoropentyl)-1H-indol-3-yl)methanone,,5f-ab-001
1156,5F-AB-FUPPYCA,5F-AB-FUPPYCA,NPS,,Cannabinoid,,,,,N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(5-fluoropentyl)-5- (4-fluorophenyl)-1H-pyrazole-3-carboxamide,,5f-ab-fuppyca
1157,5F-AB-P7AICA,5F-AB-P7AICA,NPS,Cannabinoids,Cannabinoid,,,,,"2‐{[1‐(5‐fluoropentyl)‐1H‐pyrrolo[2,3‐b]pyridin‐3‐yl]formamido}‐3‐methylbutanamide",,5f-ab-p7aica
1158,5F-AB-PFUPPYCA,5F-AB-PFUPPYCA,NPS,Cannabinoids,Cannabinoid,"5F-3,5-AB-PFUPPYCA",,,,N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(5-fluoropentyl)-3- (4-fluorophenyl)-1H-pyrazole-5-carboxamide,,5f-ab-pfuppyca
1160,5F-AB-PINACA,5F-AB-PINACA,NPS,,Cannabinoid,,,,,,,5f-ab-pinaca
1159,5F-ABP,5F-AB-PINACA,NPS,,Cannabinoid,,,,,,,5f-abp
1161,5F-ADB,5F-ADB,NPS,,Cannabinoid,,,,,,,5f-adb
1163,5F-ADB-PINACA,5F-ADB-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,"N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(5-fluoropentyl)- 1H-indazole-3-carboxamide",,5f-adb-pinaca
1162,5F-ADBICA,5F-ADBICA,NPS,Cannabinoids,Cannabinoid,5-fluoro ADBICA,,,,"N-​(1-​amino-​3,​3-​dimethyl-​1-​oxobutan-​2-​yl)-​1-​(5-​fluoropentyl)-​1H-​indole-​3-​carboxamide",,5f-adbica
1164,5F-AEB,5F-AEB,NPS,Cannabinoids,Cannabinoid,,,,,,,5f-aeb
1167,5F-AKB-57,5F-AKB-57,NPS,Cannabinoids,Cannabinoid,5F-AKB57,,,,adamantan-1-yl 1-(5-fluoropentyl)-1H-indazole-3-carboxylate,,5f-akb-57
1165,5F-AKB48,5F-AKB48,NPS,Cannabinoids,Cannabinoid,,,,,,,5f-akb48
1168,5F-AMB,5F-AMB,NPS,,Cannabinoid,,,,,,,5f-amb
1170,5F-AMB-PICA,5F-AMB-PICA,NPS,Cannabinoids,Cannabinoid,,,,,methyl (1-(5-fluoropentyl)-1H-indole-3-carbonyl)-L-valinate,,5f-amb-pica
1169,5F-AMBICA,5F-AMBICA,NPS,Cannabinoids,Cannabinoid,5F-AB-144,5F-ABICA,MBA-2201,,N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(5-fluoropentyl)-1H-indole-3- carboxamide,,5f-ambica
1171,5F-APINACA,5F-APINACA,NPS,,Cannabinoid,5F-AKB-48,,,,,,5f-apinaca
1172,5F-APP-PICA,5F-APP-PICA,NPS,Cannabinoids,Cannabinoid,PX1,,,,N-(1-amino-1-oxo-3-phenylpropan-2-yl)-1-(5-fluoropentyl)-1H-indole-3- carboxamide ,,5f-app-pica
1173,5F-APP-PINACA,5F-APP-PINACA,NPS,Cannabinoids,Cannabinoid,PX-2,PX2,,,N-(2-amino-1-benzyl-2-oxo-ethyl)-1-(5-fluoropentyl)indazole-3-carboxamide,,5f-app-pinaca
1175,5F-Bepirapim,5F-Bepirapim,NPS,Cannabinoids,Cannabinoid,,,,,3-(4-benzylpiperazine-1-carbonyl)-1-(5-fluoropentyl)-1H-indole,,5f-bepirapim
1176,5F-CUMYL-4CN-PINACA,5F-CUMYL-4CN-PINACA,NPS,,Cannabinoid,,,,,,,5f-cumyl-4cn-pinaca
1178,5F-CYPPICA,5F-CYPPICA,NPS,Cannabinoids,Cannabinoid,,,,,N-(cyclopropylmethyl)-1-(5-fluoropentyl)-1H-indole-3-carboxamide,,5f-cyppica
1177,5F-Cumyl-PeGaClone,5F-Cumyl-PeGaClone,NPS,Cannabinoids,Cannabinoid,,,,,"5-(5-fluoropentyl)-2-(1-methyl-1-phenylethyl)-pyrido[4,3-b] indol-1-one",,5f-cumyl-pegaclone
1179,5F-EDMB-PINACA,5F-EDMB-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,"ethyl-2-[1-(5-fluoropentyl)-1H-indazole-3-carboxamido]-3,3- dimethylbutanoate",,5f-edmb-pinaca
1180,5F-EMB-PINACA,5F-EMB-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,(ethyl 2-[[1-(5-fluoropentyl)indazole-3-carbonyl]amino]- 3-methyl-butanoate),,5f-emb-pinaca
1182,5F-INPB-22,5F-INPB-22,NPS,,Cannabinoid,5F-PB-22 indazole,5F-NPB-22,,,,,5f-inpb-22
1188,5F-MDMB-2201,5F-MDMB-2201,NPS,,Cannabinoid,,,,,,,5f-mdmb-2201
1189,5F-MDMB-P4AICA,5F-MDMB-P4AICA,NPS,,Cannabinoid,,,,,"methyl 2-(1-(5-fluoropentyl)-1H-pyrrolo[3,2-b]pyridine-3- carboxamido)-3,3-dimethylbutanoate",,5f-mdmb-p4aica
1190,5F-MDMB-P7AICA,5F-MDMB-P7AICA,NPS,Cannabinoids,Cannabinoid,,,,,"methyl 2-{[1-(5-fluoropentyl)-1H-pyrrolo[2,3-b]pyridin-3-yl]formamido}-3,3-dimethylbutanoate",,5f-mdmb-p7aica
1191,5F-MDMB-PICA,5F-MDMB-PICA,NPS,Cannabinoids,Cannabinoid,,,,,"methyl 2-[[1-(5-fluoropentyl)indole-3-carbonyl]amino]-3,3- dimethyl-butanoate",,5f-mdmb-pica
1192,5F-MDMB-PINACA,5F-MDMB-PINACA,NPS,Cannabinoids,Cannabinoid,5F-ADB,,,,"methyl-[2-(1-(5-fluoropentyl)-1H-indazole-3-carboxamido)- 3,3-dimethylbutanoate]",,5f-mdmb-pinaca
1193,5F-MMB-PICA,5F-MMB-PICA,NPS,,Cannabinoid,I-AMB,MMB-2201,,,,,5f-mmb-pica
1194,5F-MN-18,5F-MN-18,NPS,,Cannabinoid,,,,,,,5f-mn-18
1195,5F-MN-22,5F-MN-22,NPS,,Cannabinoid,,,,,,,5f-mn-22
1196,5F-MN-24,5F-MN-24,NPS,,Cannabinoid,5F-NNE1,CBM-2201,,,,,5f-mn-24
1197,5F-MPP-PICA,5F-MPP-PICA,NPS,,Cannabinoid,MPHP-2201,5-Fluoro MPP-PICA,,,Methyl 2-[[1-(5-fluoropentyl)indole-3-carbonyl]amino]-3-phenylpropanoate,,5f-mpp-pica
1198,5F-NNEI-2,5F-NNEI-2,NPS,,Cannabinoid,AM-6527 (N-5-fluoropentyl),,,,1-(5-fluoropentyl)-N-(naphthalen-2-yl)-1H-indole-3-carboxamide,,5f-nnei-2
1203,5F-PB-22,5F-PB-22,NPS,,Cannabinoid,,,,,,,5f-pb-22
1204,5F-PB-22 indazole analogue,5F-PB-22 indazole analogue,NPS,Cannabinoids,Cannabinoid,,,,,quinolin-8-yl 1-(5-fluoropentyl)-1H-indazole-3-carboxylate,,5f-pb-22 indazole analogue
1202,5F-PB22,5F-PB22,NPS,,Cannabinoid,,,,,,,5f-pb22
1205,5F-PCN,5F-PCN,NPS,,Cannabinoid,,,,,,,5f-pcn
1206,5F-PY-PICA,5F-PY-PICA,NPS,Cannabinoids,Cannabinoid,,,,,1-(5-fluoropentyl)-3-(pyrrolidine-1-carbonyl)-1-H-indole,,5f-py-pica
1207,5F-PY-PINACA,5F-PY-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,1-(5-fluoropentyl)indazol-3-yl]-pyrrolidin-1-yl-methanone,,5f-py-pinaca
1208,5F-SDB-005,5F-SDB-005,NPS,,Cannabinoid,,,,,(naphthalen-1-yl-1-(5-fluoropentyl)-1H-indazole-3-carboxylate,,5f-sdb-005
1210,5F-SDB-006,5F-SDB-006,NPS,,Cannabinoid,,,,,,,5f-sdb-006
1209,5F-SDB006,5F-SDB006,NPS,,Cannabinoid,,,,,,,5f-sdb006
1212,5F-THJ-018,5F-THJ-018,NPS,synthetic,Cannabinoid,1-(Phenylmethyl)-1H-indole-3-carboxylic acid 8-quinolinyl ester,,,,1-​(5-​fluoropentyl)-​N-​(quinolin-​8-​yl)-​1H-​indazole-​3-​carboxamide,,5f-thj-018
1215,5F-UR-144,5F-UR-144,NPS,,Cannabinoid,,,,,,,5f-ur-144
1214,5F-UR144,5F-UR-144,NPS,,Cannabinoid,,,,,,,5f-ur144
1181,5F-ethylbenzyl-PICA,5F-ethylbenzyl-PICA,NPS,Cannabinoids,Cannabinoid,,,,,1‐(5‐fluoropentyl)‐N‐(1‐phenylpropyl)‐1H‐indole‐3‐carboxamide,,5f-ethylbenzyl-pica
1211,5F-t-Butylbenzyl-PINACA,5F-t-Butylbenzyl-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,"N‐(2,2‐dimethyl‐1‐phenylpropyl)‐1‐(5‐fluoropentyl)‐1H‐indazole‐3‐carboxamide",,5f-t-butylbenzyl-pinaca
1217,5HTP,5-htp,NPS,,,,,,,,,5htp
1252,5M-MDA,5-METHYL-MDA,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,5m-mda
1222,5MAPB,5-mapb,NPS,,Stimulant,,,,,,,5mapb
1229,5Meo-Dalt,5-meo-dalt,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,5meo-dalt
1166,5f-AKB-48,5f-AKB-48,NPS,Cannabinoids,Cannabinoid,,,,,,,5f-akb-48
1200,5f-NPB-22,5f-NPB-22,NPS,,Cannabinoid,,,,,,,5f-npb-22
1213,5fur-144,5F-UR-144,NPS,,Cannabinoid,,,,,,,5fur-144
1255,6 APB,6-apb,NPS,,Stimulant,,,,,,,6 apb
1256,6-APB,6-apb,NPS,,Stimulant,,,,,,,6-apb
1257,6-APDB,6-apdb,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,6-apdb
1258,6-Br-MDMA,6-Br-MDMA,NPS,,Empathogens-Entactogens,6-Bromo-MDMA,,,,"1-(6-bromo-1,3-benzodioxol-5-yl)-N-methylpropan-2-amine)",,6-br-mdma
1259,6-Cl-MDMA,6-Cl-MDMA,NPS,,Empathogens-Entactogens,6-Chloro-MDMA,,,,"1-(6-Chloro-1,3-benzodioxol-5-yl)-N-methylpropan-2-amine",,6-cl-mdma
1260,6-EAPB,6-eapb,NPS,,Stimulant,,,,,,,6-eapb
1261,6-IT,6-IT,NPS,Arylalkylamines,,,,,,2-(1H-indol-6-yl)-1-methyl-ethylamine,,6-it
1262,6-MAPB,6-mapb,NPS,,Stimulant,,,,,,,6-mapb
1264,6-MeO-DiPT,6-MeO-DiPT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,[2-(6-methoxy-1H-indol-3-yl)ethyl]bis(propan-2-yl)amine,,6-meo-dipt
1263,6-MeO-bk-MDMA,6-MeO-bk-MDMA,NPS,,, N-methyl-bk-MMDA-2,,,,"1-(6-methoxybenzo[d][1,3]dioxol-5-yl)-2-(methylamino)propan-1-one",,6-meo-bk-mdma
1265,"7- [2-([1-(4-chloro-2,5-dimethoxyphenyl)propan-2-yl]amino)ethyl] -1,3-dimethyl-3,7 dihydro-1H-purine-2,6-dione","7- [2-([1-(4-chloro-2,5-dimethoxyphenyl)propan-2-yl]amino)ethyl] -1,3-dimethyl-3,7 dihydro-1H-purine-2,6-dione",NPS,,,,,,,"7- [2-([1-(4-chloro-2,5-dimethoxyphenyl)propan-2-yl]amino)ethyl] -1,3-dimethyl-3,7 dihydro-1H-purine-2,6-dione",,"7- [2-([1-(4-chloro-2,5-dimethoxyphenyl)propan-2-yl]amino)ethyl] -1,3-dimethyl-3,7 dihydro-1h-purine-2,6-dione"
1266,7-Aminoclonazepam,7-Aminoclonazepam,NPS,Benzodiazepines,Sedative - benzodiazepine,,,,,"7-amino-5-(2-chlorophenyl)-2,3-dihydro-1H-1,4-benzodiazepin-2-one",,7-aminoclonazepam
1267,7-Aminoflunitrazepam,7-Aminoflunitrazepam,NPS,Benzodiazepines,Sedative - benzodiazepine,,,,,"7-amino-5-(2-fluorophenyl)-1-methyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one",,7-aminoflunitrazepam
1268,"7-MeO-1-Me-9H-pyrido[3,4-b]-indole","7-MeO-1-Me-9H-pyrido[3,4-b]-indole",NPS,,,,,,,"7-MeO-1-Me-9H-pyrido[3,4-b]-indole",,"7-meo-1-me-9h-pyrido[3,4-b]-indole"
1269,7-MeO-DiPT,7-MeO-DiPT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,[2-(7-methoxy-1H-indol-3-yl)ethyl]bis(propan-2-yl)amine,,7-meo-dipt
1270,"7-methoxy-1-methyl-4,9-dihydro-3H-pyrido[3,4-b]indole","7-methoxy-1-methyl-4,9-dihydro-3H-pyrido[3,4-b]indole",NPS,,,,,,,"7-methoxy-1-methyl-4,9-dihydro-3H-pyrido[3,4-b]indole",,"7-methoxy-1-methyl-4,9-dihydro-3h-pyrido[3,4-b]indole"
1271,"A-796,260","A-796,260",NPS,Cannabinoids,Cannabinoid,A-796260,,,,"[1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](2, 2,3,3-tetramethylcyclopropyl)methanone",,"a-796,260"
1272,"A-796,260 isomer","A-796,260 isomer",NPS,,Cannabinoid,,,,,"(E)-3,4,4-trimethyl-1-[1-(2-morpholinoethyl)indol-3-yl]pent-2-en-1- one",,"a-796,260 isomer"
1273,"A-834,735","A-834,735",NPS,Cannabinoids,Cannabinoid,A-834735,,,,"([1-(tetrahydropyran-4-ylmethyl)indol-3-yl]-(2,2,3,3-tetramethylcyclopropyl)methanone",,"a-834,735"
1344,A-PHP,alpha-PHP,NPS,,Stimulant,,,,,,,a-php
1361,A-PVP,alpha-PVP,NPS,,Stimulant,,,,,,,a-pvp
1363,A-PVT,alpha-PVT,NPS,,Stimulant,,,,,,,a-pvt
1350,A-pihp,alpha-PiHP,NPS,,Stimulant,,,,,,,a-pihp
1274,AB-001,AB-001,NPS,,Cannabinoid,,,,,,,ab-001
1275,AB-005,AB-005,NPS,Cannabinoids,Cannabinoid,,,,,"[1-[(1-methyl-2-piperidinyl)methyl]-1H-indol3-yl](2,2,3,3-tetramethylcyclopropyl)methanone",,ab-005
1276,AB-005 azepane isomer,AB-005 azepane isomer,NPS,Cannabinoids,Cannabinoid,,,,,"(1-(1-methylazepan-2-yl)-1Hindol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",,ab-005 azepane isomer
1277,AB-7-FUBAICA,AB-7-FUBAICA,NPS,Cannabinoids,Cannabinoid,,,,,"(2S)-2-({1-[(4-fluorophenyl)methyl]-1H-pyrrolo[2,3-b]pyridin-3-yl}formamido)-3-methylbutanamide",,ab-7-fubaica
1278,AB-BICA,AB-BICA,NPS,Cannabinoids,Cannabinoid,,,,,(2S)-2-[(1-benzyl-1H-indol-3-yl)formamido]-3-methylbutanamide,,ab-bica
1279,AB-CHIMINACA,AB-CHIMINACA,NPS,,Cannabinoid,,,,,,,ab-chiminaca
1280,AB-CHMFUPPYCA,AB-CHMFUPPYCA,NPS,Cannabinoids,Cannabinoid,AB-CHFUPYCA,,,,N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(cyclohexylmethyl)- 3-(4-fluorophenyl)-1H-pyrazole-5-carboxamide,,ab-chmfuppyca
1281,AB-CHMICA,AB-CHMICA,NPS,,Cannabinoid,,,,,,,ab-chmica
1282,AB-CHMINACA,AB-CHMINACA,NPS,,Cannabinoid,,,,,,,ab-chminaca
1285,AB-CHMINACA 2’-indazole isomer,AB-CHMINACA 2’-indazole isomer,NPS,,Cannabinoid,,,,,,,ab-chminaca 2’-indazole isomer
1283,AB-CMINACA,AB-CHMINACA,NPS,,Cannabinoid,,,,,,,ab-cminaca
1287,AB-FUBINACA,AB-FUBINACA,NPS,,Cannabinoid,,,,,,,ab-fubinaca
1288,AB-FUBINACA 2-fluorobenzyl isomer,AB-FUBINACA 2-fluorobenzyl isomer,NPS,Cannabinoids,Cannabinoid,,,,,N-[(1S)-1-(aminocarbonyl)-2-methylpropyl]-1- [(2-fluorophenyl)methyl]-1H-indazole-3-carboxamide ,,ab-fubinaca 2-fluorobenzyl isomer
1289,AB-FUNICA,AB-FUNICA,NPS,,Cannabinoid,,,,,,,ab-funica
1290,AB-PINACA,AB-PINACA,NPS,,Cannabinoid,,,,,,,ab-pinaca
1291,AB-PINACA N-(2-fluoropentyl) isomer,AB-PINACA N-(2-fluoropentyl) isomer,NPS,Cannabinoids,Cannabinoid,,,,,N-(1-amino-3-methyl-1-oxobutan-2-yl)-1- (2-fluoropentyl)-1H-indazole-3-carboxamide,,ab-pinaca n-(2-fluoropentyl) isomer
1284,ABCHMINACA,AB-CHMINACA,NPS,,Cannabinoid,,,,,,,abchminaca
